"","DOID:114","DOID:2531","DOID:14250","DOID:409","DOID:2841","DOID:0110741","DOID:3230","DOID:850","DOID:417","DOID:557","DOID:9970"
"DOID:114,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:2531,DOID:14250",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:409",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:2841",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:0110741",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:3230",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:850",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:417",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:557",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:9970",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:14250,DOID:409",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:2841",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:0110741",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:3230",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:850",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:417",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:557",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:14250,DOID:9970",0.135412554283458,0.109892388006257,1,0.109892388006257,0.0933602719681705,0.0698989009481177,0.109892388006257,0.109892388006257,0.135412554283458,0.135412554283458,0.0933602719681705
"DOID:409,DOID:2841",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:409,DOID:0110741",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:409,DOID:3230",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:409,DOID:850",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:409,DOID:417",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:409,DOID:557",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:409,DOID:9970",0.266881513729481,0.0865818037575277,0.109892388006257,1,0.173472727049999,0.0498579928542293,0.21027009483971,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:2841,DOID:0110741",0.226732089065557,0.0714299464323527,0.0933602719681705,0.173472727049999,1,0.0367619429090039,0.173472727049999,0.527498700621427,0.226732089065557,0.226732089065557,0.0571439257166366
"DOID:2841,DOID:3230",0.226732089065557,0.0714299464323527,0.0933602719681705,0.173472727049999,1,0.0367619429090039,0.173472727049999,0.527498700621427,0.226732089065557,0.226732089065557,0.0571439257166366
"DOID:2841,DOID:850",0.226732089065557,0.0714299464323527,0.0933602719681705,0.173472727049999,1,0.0367619429090039,0.173472727049999,0.527498700621427,0.226732089065557,0.226732089065557,0.0571439257166366
"DOID:2841,DOID:417",0.226732089065557,0.0714299464323527,0.0933602719681705,0.173472727049999,1,0.0367619429090039,0.173472727049999,0.527498700621427,0.226732089065557,0.226732089065557,0.0571439257166366
"DOID:2841,DOID:557",0.226732089065557,0.0714299464323527,0.0933602719681705,0.173472727049999,1,0.0367619429090039,0.173472727049999,0.527498700621427,0.226732089065557,0.226732089065557,0.0571439257166366
"DOID:2841,DOID:9970",0.226732089065557,0.0714299464323527,0.0933602719681705,0.173472727049999,1,0.0367619429090039,0.173472727049999,0.527498700621427,0.226732089065557,0.226732089065557,0.0571439257166366
"DOID:0110741,DOID:3230",0.0698989009481177,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,1,0.0498579928542293,0.0498579928542293,0.0698989009481177,0.0698989009481177,0.0892790042075809
"DOID:0110741,DOID:850",0.0698989009481177,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,1,0.0498579928542293,0.0498579928542293,0.0698989009481177,0.0698989009481177,0.0892790042075809
"DOID:0110741,DOID:417",0.0698989009481177,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,1,0.0498579928542293,0.0498579928542293,0.0698989009481177,0.0698989009481177,0.0892790042075809
"DOID:0110741,DOID:557",0.0698989009481177,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,1,0.0498579928542293,0.0498579928542293,0.0698989009481177,0.0698989009481177,0.0892790042075809
"DOID:0110741,DOID:9970",0.0698989009481177,0.0498579928542293,0.0698989009481177,0.0498579928542293,0.0367619429090039,1,0.0498579928542293,0.0498579928542293,0.0698989009481177,0.0698989009481177,0.0892790042075809
"DOID:3230,DOID:850",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.173472727049999,0.0498579928542293,1,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:3230,DOID:417",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.173472727049999,0.0498579928542293,1,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:3230,DOID:557",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.173472727049999,0.0498579928542293,1,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:3230,DOID:9970",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.173472727049999,0.0498579928542293,1,0.21027009483971,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:850,DOID:417",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.527498700621427,0.0498579928542293,0.21027009483971,1,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:850,DOID:557",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.527498700621427,0.0498579928542293,0.21027009483971,1,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:850,DOID:9970",0.266881513729481,0.0865818037575277,0.109892388006257,0.21027009483971,0.527498700621427,0.0498579928542293,0.21027009483971,1,0.266881513729481,0.266881513729481,0.0714299464323527
"DOID:417,DOID:557",0.328859060402685,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,1,0.328859060402685,0.0933602719681705
"DOID:417,DOID:9970",0.328859060402685,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,1,0.328859060402685,0.0933602719681705
"DOID:557,DOID:9970",0.328859060402685,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,1,0.0933602719681705
"DOID:114,DOID:2531,DOID:14250",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:409",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:2841",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:0110741",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:3230",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:850",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2531,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:409",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:2841",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:0110741",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:3230",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:850",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:14250,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:2841",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:0110741",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:3230",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:850",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:409,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2841,DOID:0110741",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2841,DOID:3230",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2841,DOID:850",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2841,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2841,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:2841,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:0110741,DOID:3230",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:0110741,DOID:850",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:0110741,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:0110741,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:0110741,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:3230,DOID:850",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:3230,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:3230,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:3230,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:850,DOID:417",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:850,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:850,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:417,DOID:557",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:417,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:114,DOID:557,DOID:9970",1,0.109892388006257,0.135412554283458,0.266881513729481,0.226732089065557,0.0698989009481177,0.266881513729481,0.266881513729481,0.328859060402685,0.328859060402685,0.0933602719681705
"DOID:2531,DOID:14250,DOID:409",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
"DOID:2531,DOID:14250,DOID:2841",0.109892388006257,1,0.109892388006257,0.0865818037575277,0.0714299464323527,0.0498579928542293,0.0865818037575277,0.0865818037575277,0.109892388006257,0.109892388006257,0.0714299464323527
